id,category1,category2,category3,category4,category5,tags,post_title,post_image,post_date,post_modified,post_status,post_content,post_excerpt,address1,address2,city,state,zip,contact,email,website,twitter,facebook,timing,alive_dates,special_offer,organizer_desc,print_desc,st_date,st_time,end_date,end_time,organizer_name,presented_by,venue,benefits,reg_desc,phone
2810,"Rallies &amp; Events","","","","","","23rd Annual Spring Opener","","2012-04-16 00:00:00","2012-04-16 00:00:00","4510hwy6harvardid838","Camp-out, bike show, bike rodeo, live music, trophies, prizes, horseshoes, food, refreshments.","Pines RV Park","4510 Hwy 6 Harvard ID 83834","","","","","208.827.0396","abateofnorthidaho@gmail.com","","","","","","","","","2012-06-01","09:00:00","2012-06-03","24:00:00","","Presented by ABATE of North Idaho.","Pines RV Park","","",""
7586,"Rallies &amp; Events","","","","","Southwest","Hideaway Anniversary Party","","2012-07-12 18:50:15","2012-11-08 13:19:17","publish","The Hideway Grill celebrates 14 years!	Live Entertainment	Live Radio Remote	Coors Light Girls with Give-a-ways	Arizona Premiere Builders","","6746 East Cave Creek Road","","Cave Creek","AZ","85331","","","http://www.hideaway-usa.com","","","","","","","The Hideway Grill celebrates 14 years. Live entertainment, live radio remote, Coors Light Girls with give-a-ways and Arizona premiere builders.","2012-10-19","6 am","2012-10-21","2 am","","The Hideaway Grill","The Hideaway Grill","","","480.595.0358"
7651,"Rallies &amp; Events","","","","","","Chili Cook Off/ Halloween Open House","","2012-09-11 13:10:33","2013-01-14 09:56:46","publish","Bring your own chili to enter in the cook-off contest and enjoy a family-friendly day. Costumes welcome. More info coming soon.","","22107 Sherman Way","","Canoga Park","CA","91303","818.999.3355","","http://www.bargerharley-davidson.com","","","","","","","","2012-10-27","09:00:00","2012-10-27","24:00:00","","Hosted by Barger Harley-Davidson.","Barger Harley-Davidson","","",""
7652,"Rallies &amp; Events","","","","","","Pre-Holiday/Thanksgiving Open House","","2012-09-11 13:10:34","2013-01-14 09:56:46","publish","Come out and celebrate the holidays with fellow H-D enthusiasts. More info coming soon.","","22107 Sherman Way","","Canoga Park","CA","91303","818.999.3355","","http://www.bargerharley-davidson.com","","","","","","","","2012-11-17","09:00:00","2012-11-17","24:00:00","","Hosted by Barger Harley-Davidson.","Barger Harley-Davidson","","",""
7677,"Rallies &amp; Events","","","","","Southwest","10th Annual Desert Sweet Shrimp Fest","","2012-09-11 13:10:34","2012-10-24 11:55:42","publish","It's on the way to or from the Rocky Point Rally, delectable shrimp dishes, eating contests, kids events, beer/wine, vendors, live band and more.","","202 N Euclid Ave.","","Gila Bend","AZ","85337","928.420.1964","chris.gbcc@hotmail.com","http://www.gilabendazchamber.com","","","Gates open 10 am","","","","","2012-11-10","09:00:00","2012-11-10","24:00:00","","Presented by Gila Bend Chamber of Commerce/town of Gila Bend.","Centennial Park","Benefits local scholarships and non-profits.","",""
7842,"Rallies &amp; Events","","","","","","Sonoma County Toy Run","","2012-09-11 13:10:40","2013-01-21 22:26:54","publish","Bring an unwrapped gift and watch the kids smile as they receive their presents.","","3320 Mendocino Ave.","","Santa Rosa","CA","95404","415.720.4568","hamcsco@gmail.com","http://www.hellsangelssonomacounty.com","","","Starts 10 am","","","","","2012-12-02","09:00:00","2012-12-02","24:00:00","","Presented by Hell's Angels Sonoma County.","The Wagon Wheel Saloon","Benefits the local children in need of help at Christmas time.","",""
7930,"Rallies &amp; Events","","","","","","The Santa Rosa Mile","","2012-09-11 13:10:43","2013-01-21 22:26:54","publish","AMA Pro Racing Grand National Championship series.","","Sonoma County Fairgrounds","","Santa Rosa","CA","","888.718.4253","","http://www.santarosamile.com","","","","","","","","2012-09-30","09:00:00","2012-09-30","24:00:00","","","Sonoma County Fairgrounds","","",""
7981,"Rallies &amp; Events","","","","","","29th Annual Toy Run","","2012-09-11 13:10:45","2013-01-21 22:26:54","publish","Come help us help the children have a great Christmas. Pack ride to Anderson River Park. Canned food collection for the needy.","","5000 Rhonda Rd.","","Anderson","CA","96007","530.474.3500","juliemacneil74@yahoo.com","http://www.ubncshastsco.org","","","Starts 12 noon","","","","","2012-11-11","09:00:00","2012-11-11","24:00:00","","Presented by United Bikers of Northern California.","Wal-Mart","","",""
8196,"Rallies &amp; Events","Majors","","","","Midwest","Sturgis Motorcycle Rally","http://calendar.thunderpress.net/wp-content/uploads/2012/07/Sturgis-blurb.jpeg","2012-07-26 20:27:25","2013-01-17 00:25:01","publish","The Sturgis Motorcycle Rally is a life-changing event for scores of bikers.  With attendance in the hundreds of thousands, the rally is the most iconic major motorcycle rally of the year.&nbsp;	Local Rides—Incredible roads like Needles Highway, Iron Mountain Road, the Wildlife Loop, Vanocker Canyon Road and Spearfish Canyon take you to amazing destinations including Mount Rushmore National Memorial, Custer State Park, Crazy Horse Memorial, Bear Butte State Park, the Badlands and Devil’s Tower National Monument.	Nonstop Fun— Don't forget about all the babes, beer and nightlife that sweeps through the town when the sun goes down.&nbsp;Read about last year's rally in the words of Thunder Press' Shadow.","The Sturgis Motorcycle Rally is a life-changing event for scores of bikers.  With attendance in the hundreds of thousands, the rally is the most iconic major motorcycle rally of the year. Local Rides—Incredible roads like Needles Highway, Iron Mountain Road, the Wildlife Loop, Vanocker Canyon Road and Spearfish Canyon take you to amazing destinations including Mount Rushmore National Memorial, Custer State Park, Crazy Horse Memorial, Bear Butte State Park, the Badlands and Devil’s Tower National Monument. Nonstop Fun—Don't forget about all the babes, beer and nightlife that sweeps through the town when the sun goes down.","Sturgis, SD","","","","","605-347-2556","","http://www.sturgismotorcyclerally.com/","","","","90","","The Sturgis Motorcycle Rally is a life-changing event for scores of bikers.  With attendance in the hundreds of thousands, the rally is the most iconic major motorcycle rally of the year. Local Rides—Incredible roads like Needles Highway, Iron Mountain Road, the Wildlife Loop, Vanocker Canyon Road and Spearfish Canyon take you to amazing destinations including Mount Rushmore National Memorial, Custer State Park, Crazy Horse Memorial, Bear Butte State Park, the Badlands and Devil’s Tower National Monument. Nonstop Fun—Don't forget about all the babes, beer and nightlife that sweeps through the town when the sun goes down.","The Sturgis Motorcycle Rally is a life-changing event for scores of bikers.  With attendance in the hundreds of thousands, the rally is the most iconic major motorcycle rally of the year. Local Rides—Incredible roads like Needles Highway, Iron Mountain Road, the Wildlife Loop, Vanocker Canyon Road and Spearfish Canyon take you to amazing destinations including Mount Rushmore National Memorial, Custer State Park, Crazy Horse Memorial, Bear Butte State Park, the Badlands and Devil’s Tower National Monument. Nonstop Fun—Don't forget about all the babes, beer and nightlife that sweeps through the town when the sun goes down.","2013-08-05","9:00","2013-08-11","21:00","","","","","Visit the link to the right for more information on lodging as well as schedules of events, maps and plenty more. ",""
11421,"Rallies &amp; Events","","","","","","Injured Warrior Appreciation Run","","0009-06-12 00:00:00","2013-01-14 09:56:47","publish","Shirt, pin, commemorative banner and lunch with the injured warriors. 70 mile group run to Camp Pendleton.","Shirt, pin, commemorative banner and lunch with the injured warriors. 70 mile group run to Camp Pendleton.","8677 Research Dr. Irvine CA 92618","","","","","","raher@aol.com","www.ochog.org","","","","","","","","2012-11-02","07:30:00","2012-11-02","00:00:00","Richard Rahe","Presented by OC H.O.G. and OC Harley-Davidson.","Orange County Harley-Davidson","Benefits The Wounded Warrior Foundation/San Diego."," Register Now  Admission:$30/rider, $25/passenger, includes lunch.",""
11432,"Rallies &amp; Events","","","","","Southwest","17th Annual Big Dog Alley Goin to the Dogs Poker Run","","2012-09-11 13:15:46","2012-10-24 11:52:15","publish","Two sign-in locations: Bullhead City and Kingman Arizona.  For information check out our website.","For information check out our website.","Bullhead City, AZ 86409","","","","","","","www.desertroadridersmc.com","","","","","","","","2012-10-27","08:00:00","2012-10-27","00:00:00","Jimbo ","Presented by Desert Road Riders MC.","Two sign in locations","Benefits Mutt Matchers and Friends, a local no kill animal shelter and adoption center.","",""
11443,"Rallies &amp; Events","","","","","South","10th annual Ride for Autism","","0009-04-12 00:00:00","2012-10-24 12:55:41","publish","Overnight motorcycle poker run, Lafayette, Louisiana, to Orange Beach, Alabama, open to all bikes. Or join us at the Happy Harbor Cantina in Pensacola Saturday night. Registration includes event T-shirt, complimentary meal and ride token. ","Overnight motorcycle poker run, Lafayette, Louisiana, to Orange Beach, Alabama, open to all bikes. Or join us at the Happy Harbor Cantina in Pensacola Saturday night. Registration includes event T-shirt, complimentary meal and ride token. ","724 I-10 So. Frontage Rd. Scott LA 70583","","","","","","cgmesa@bellsouth.net","www.projectindependence.org","","","","","","","","2013-03-22","08:00:00","2012-03-23","00:00:00","Carol Mesa","Presented by Project Independence.","Cajun Harley-Davidson","Benefits Project Independence."," Register Now  Admission:$45.",""
11445,"Rallies &amp; Events","","","","","","Motorcycle Rally & Bike Show","","0009-06-12 00:00:00","2013-01-14 09:56:47","publish","Help us celebrate the USMC birthday. Ride in bike show $10, raffles, vendors, music by the Freightshakers from 12_4 pm, ride 85 miles in OC.","Help us celebrate the USMC birthday. Ride in bike show $10, raffles, vendors, music by the Freightshakers from 12_4 pm, ride 85 miles in OC.","14582 Beach Blvd Midway City CA 92655","","","","","","","","","","","","","","","2012-11-10","08:00:00","2012-11-10","00:00:00","Lenard, ALR President","Presented by American Legion Riders #555.","American Legion Post 555","Benefits Veteran's Organizations, Wounded Warriors Project, Bob Hope USO and more."," Register Now  Admission:$25/riders, $10/passenger, includes lunch.",""
11450,"Rallies &amp; Events","","","","","Northeast","3rd Annual Bikers for Boobies","","2012-09-11 13:15:47","2012-10-24 11:48:20","publish","Save the ta-tas by raising money for breast cancer. Run patch to the first 150 registrants. KSU 10:15 Sharp. Escorted group ride to Jones Beach.","Save the ta-tas by raising money for breast cancer. Run patch to the first 150 registrants. KSU 10:15 Sharp. Escorted group ride to Jones Beach.","511 Commack Rd.","","Deer Park","NY","11729","","lirenegade@optonline.net","www.renegadelongisland.com","","","","","","","","2012-10-21","08:30:00","2012-10-21","00:00:00","Renegade Classics","Presented by Renegade Classics.","Renegade Classics","Benefits Making Strides for Breast Cancer & Breast Cancer Wellness Groups."," Register Now  Admission:$20 donation/person.",""
11453,"Rallies &amp; Events","","","","","Northeast","Bikers For Boobies Breast Cancer Run","","0009-10-12 00:00:00","2012-10-24 12:57:05","publish","Save the ta-tas. KSU 10:15 am. Free coffee and donuts. Free run patch or year rocker to first 150. Pre-registration encouraged to receive patch.","Save the ta-tas. KSU 10:15 am. Free coffee and donuts. Free run patch or year rocker to first 150. Pre-registration encouraged to receive patch.","511 Commack Rd. Deer Park NY 11729","","","","","","lirenegade@optonline.net","","","","","","","","","2012-10-21","08:30:00","2012-10-21","00:00:00","Renegade Classics","Presented by Renegade Classics.","Renengade Classics","Benefits Making Strides for Breast Cancer."," Register Now  Admission:$20/person.",""
11470,"Rallies &amp; Events","","","","","Northeast","30th Annual Toy Run","","2012-09-11 13:15:47","2012-10-24 11:46:20","publish","Remember the older children (ages 5-17), Grand Marshal Cong Jon Runyan. Cars and trucks welcome. The Junk Yard Dogs live.","Remember the older children (ages 5_17), Grand Marshal Cong Jon Runyan. Cars and trucks welcome. The Junk Yard Dogs live.","Rt. 30 E. at Rt. 206","","Hammonton","NJ","08037","","totalyirish@yahoo.com or no1deuce@jandillc.com","www.gsabatesouthwest.org","","","","","","","","2012-10-21","09:00:00","2012-10-21","00:00:00","Bob or Frank","Presented by Garden State ABATE (SouthWest Chapter) & Archway Programs.","Peachtree Plaza (Old Jamesway Lot)","Benefits special needs children."," Register Now  Admission:$15/rider, $10/passenger, donation of toy, CD or video.",""
11499,"Rallies &amp; Events","","","","","","4th Annual Teddy Bear Ride","","2012-09-11 13:15:48","2013-01-21 22:26:54","publish","Riders will deliver 100 new teddy bears (provided by CAHC) to the children at the shelter. Please bring a new unwrapped toy to donate to the shelter. Optional group ""dutch"" lunch to proceed the ride.","Riders will deliver 100 new teddy bears (provided by CAHC) to the children at the shelter. Please bring a new unwrapped toy to donate to the shelter. Optional group ""dutch"" lunch to follow.","1555 South Bascon Avenue","","Campbell","CA","95008","","llaroo@comcast.net","www.facebook.com/events/430612796977659/","","","","","","","Riders will deliver 100 new teddy bears (provided by CAHC) to the children at the shelter. Please bring a new unwrapped toy to donate to the shelter. Optional group ""dutch"" lunch to proceed the ride.","2012-12-08","11 am","2012-12-08","12:30 pm","L Leanza","Presented by Coastside Armada Harley Club.","Hooter's","Benefits the Family Supportive Housing Center of San Jose.","",""
11505,"Rallies &amp; Events","","","","","","15th Annual Toy Run","","2012-09-11 13:15:49","2013-01-21 22:26:54","publish","One new unwrapped toy gets you a great day, including, a raffle, 50/50 raffle, music, full no host bar, pack ride with Santa, Lions famous barbecue lunch.","One new unwrapped toy gets you a great day, including, a raffle, 50/50 raffle, music, full no host bar, pack ride with Santa, Lions famous barbecue lunch.","1 Citrus Fair Dr.","","Cloverdale","CA","95425","","cosby_jay@yahoo.com","","","","","","","","","2012-12-02","09:00:00","2012-12-02","00:00:00","Jay Cosby","Presented by The Cloverdale Lions Club.","Cloverdale Citrus Fair","Benefits children of the community."," Register Now  Admission:One new unwrapped toy.",""
11510,"Rallies &amp; Events","","","","","","36th Annual Sacramento Capitol Toy Run","","0009-10-12 00:00:00","2012-10-23 11:50:15","publish","Bring the kids, we will have the Marines and Sac Metro Fire to take pictures. Escorted pack ride.","Bring the kids, we will have the Marines and Sac Metro Fire to take pictures. Escorted pack ride.","9616 Oates Dr. Sacramento, CA 95827","","","","","","gus@mma-ca.org","http://www.mma-ca.org/toyRun.aspx","","","","","","Bring the kids, we will have the Marines and Sac Metro Fire to take pictures. Escorted pack ride.","","2012-11-25","09:00:00","2012-11-25","17:00:00","Gus Alvarez","Presented by the Modified Motorcycle Association of California.","Sacramento 6 Drive-In","Benefits The Marines Toys For Tots and Sac Metro Fire."," Admission:$5 donation per bike/car and an unwrapped toy.","916.224.7467, 916.470.2938"
11513,"Rallies &amp; Events","","","","","","9th Annual Toy Run","","0009-10-12 00:00:00","2013-01-14 09:56:47","publish","Kickstands up at 10 am, all bikes welcome, raffle and 50/50 at end of run.","Kickstands up at 10 am, all bikes welcome, raffle and 50/50 at end of run.","17495 Hurley Street East City of Industry CA 91744","","","","","","ironandy433@hotmail.com","","","","","","","","","2012-11-18","09:00:00","2012-11-18","00:00:00","Andy (Kickstand)","Presented by Ironworkers 433 MC.","Ironworkers Union Hall","Benefits for local underprivileged children."," Register Now  Admission:Please bring an unwrapped toy valued $10 or more.",""
11516,"Rallies &amp; Events","","","","","","ABATE 17 Annual Toy Run","","0009-10-12 00:00:00","2013-01-21 22:26:53","publish","Departs at 11 am.","Departs at 11 am.","6585 Gibson Canyon Rd. Vacaville CA 95688","","","","","","glennphillips01@comcast.net","www.abate17.com","","","","","","","","2012-12-02","09:00:00","2012-12-02","00:00:00","Glenn Phillips","Presented by ABATE 17.","Vacaville Moose Lodge","Benefits Toys for Tots."," Register Now  Admission:Bring an unwrapped toy for a boy or girl.",""
11533,"Rallies &amp; Events","","","","","Northeast","Steel Horse Poker Run","","2012-09-11 13:15:50","2012-10-23 14:57:17","publish","This ride begins and ends at the Bethlehem SteelStacks but stops at Keystone H-D for a poker run. The registration fee includes and after party with free food, live music, raffles, prizes, etc.","This ride begins and ends at the Bethlehem SteelStacks but stops at Keystone H-D for a poker run. The registration fee includes and after party with free food, live music, raffles, prizes, etc. ","101 Founders Way","","Bethlehem","PA","18015","","info@steelhorsepokerrun.com","www.steelhorsepokerrun.com","","","","","","","","2012-10-28","10:00:00","2012-10-28","00:00:00","James Fahr","Presented by Steel Horse Charities.","The SteelStacks in Bethlehem","Benefits The Cystic Fibrosis Foundation."," Register Now  Admission:$15/rider, $5/passenger (pre-registration).",""
11541,"Rallies &amp; Events","","","","","","24th Annual Toy Run","","2012-09-11 13:15:50","2013-01-14 09:56:46","publish","Rain or shine. Raffle, vendors, food, ride in bike show ($5/bike, enter by 11 am), best decorated bike award, cash prize for largest group.","Rain or shine. Raffle, vendors, food, ride in bike show ($5/bike, enter by 11 am), best decorated bike award, cash prize for largest group.","1150 W. 4th St.","","Ontario","CA","91762","","ToyRun@gmail.com","www.facebook.com/pages/Santa-Claus-Inc-Toy-Run/327720240652335","","","","","","","","2012-12-02","10:00:00","2012-12-02","00:00:00","Kevin McKenzie or Robert Cuthbertson","Presented by ABATE Local 19 and Pomona Valley H.O.G.","Ontario Elk's Lodge","Benefits Santa Claus, Inc."," Register Now  Admission:$8 plus new, unwrapped toy.",""
11548,"Rallies &amp; Events","","","","","South","5th Saturday Cruise In","","0008-09-12 00:00:00","2012-10-24 12:52:00","publish","Pre-New Years Cruise In with awesome bikes and classic cars.","Pre-New Years Cruise In with awesome bikes and classic cars.","1745 Hwy 441 Leesburg, FL 34748","","","","","","gatorharleyevents@gmail.com","http://www.gatorharley.com","","","","","","","Pre-New Years Cruise In with awesome bikes and classic cars.","2012-12-29","10:00:00","2012-12-29","17:00","Joanne or Alex","Presented by Gator Harley-Davidson.","Gator Harley-Davidson","Benefits Veterans of Resource and Recovery for Homeless Veterans."," ",""
11549,"Rallies &amp; Events","","","","","","Third Annual Pumpkin Run","","2012-09-11 13:15:50","2013-01-21 22:26:54","publish","Scenic ride down the coast and through the Santa Cruz Mountains. No sign in, no cost, just ride.","Scenic ride down the coast and through the Santa Cruz Mountains. No sign in, no cost, just ride.","2380 Cabrillo Highway S. (Rt. 1)","","Half Moon Bay","CA","94019","","califormiacoastridersmc@gmail.com","www.coastriders.com","","","","","","","","2012-10-28","10:00:00","2012-10-28","00:00:00","Tim","Presented by Coastriders MC.","Joe's Dinner",""," Register Now  Admission:Free.",""
11552,"Rallies &amp; Events","","","","","","One More From the Heart","","2012-09-11 13:15:50","2013-01-14 09:56:46","publish","This event is 22 years of doing something nice for less fortunate folks for the big warm and fuzzies. Downloadable fliers are available.","This event is 22 years of doing something nice for less fortunate folks for the big warm and fuzzies. Downloadable fliers are available.","4791 Doane Ave.","","Riverside","CA","92881","","hr-wolfe@att.net","www.totallykids.com","","","","","","","","2012-11-11","10:00:00","2012-11-11","00:00:00","HR","Presented by friends of TK.","Chopper Place","Benefits Totally Kids Child Care Center.","",""
11553,"Rallies &amp; Events","","","","","","Parking Lot Event","","2012-09-11 13:15:51","2013-01-21 22:26:54","publish","Free coffee, donuts, goodies, and more. Rain date October 28.","Free coffee, donuts, goodies, and more. Rain date October 21.","2370 Stevens Creek Blvd.","","San Jose","CA","95128","","","www.justleathers.com","","","","","","","","2012-10-21","10:00:00","2012-10-21","14:00:00","Mark or Tracie","Presented by Just Leather.","Just Leather","","",""
11554,"Rallies &amp; Events","","","","","","10th Annual Under The Gun Open House","","2012-09-11 13:15:51","2013-01-21 22:26:54","publish","Open house, block party, raffle, barbecue.","Open house, block party, raffle, barbecue.","4425 Piedmont Ave.","","Oakland","CA","94611","","themoshman@gmail.com","www.loscarnales-oakland.com","","","","","","","","2012-10-06","10:00:00","2012-10-06","18:00:00","U-Turn","Presented by Los Carnales/La Familia Motorcycle Club.","Los Carnales/La Familia Clubhouse","Benefits local charities."," Register Now  Admission:$10 donation.",""
11557,"Rallies &amp; Events","","","","","","3rd Annual Run for Recovery","","2012-09-11 13:08:17","2013-01-14 09:56:47","publish","Join us for a good time and great cause. Food, raffles, live music. Free T-shirt first 50 that show up. Prizes include guitar, cigars and a box to put 'em in.","Join us for a good time and great cause. Food, raffles, live music. Free T-shirt first 50 that show up. Prizes include guitar, cigars and a box to put 'em in.","82-780 Indio Blvd.","","Indio","CA","92201","","rfdhd@msn.com","","","","","","","","","2012-10-27","10:00:00","2012-10-27","00:00:00","Sid","Presented by Sober Riders MC Palm Desert Chapter.","Valley V-Twin","Benefits ABC Recovery Center Alumni."," Register Now  Admission:$20 donation.",""
11558,"Rallies &amp; Events","","","","","Southwest","Rip's BAD Ride Arizona VIII","","0009-04-12 00:00:00","2012-10-31 01:23:47","publish","An escorted, fundraising ride that unites the biker nation and the American Diabetes Association. Register today. Raise $500 or more and ride VIP style.","An escorted, fundraising ride that unites the biker nation and the American Diabetes Association. Register today. Raise $500 or more and ride VIP style.","944 S. Country Club","","Mesa","AZ","85210","","kgronau@diabetes.org","www.ripsbadride.com","","","","","","","","2012-11-03","10:00:00","2012-11-03","00:00:00","Kaylee","","Rocktoberfest","Benefits American Diabetes Association."," Register Now  Admission:$20.",""
11559,"Rallies &amp; Events","","","","","","Original Yuba-Sutter Toy Run","","0009-06-12 00:00:00","2012-10-24 12:53:52","publish","29th annual motorcycle toy run. Bring a toy and a can of food and you'll receive a free holiday dinner. Games and raffle. All bikes welcome.","29th annual motorcycle toy run. Bring a toy and a can of food and you'll receive a free holiday dinner. Games and raffle. All bikes welcome.","3770 Hwy 45 Colusa CA 95932","","","","","","k.trexler@att.net","","","","","","","","","2012-12-01","10:00:00","2012-12-01","00:00:00","Ken Trexler","Presented by Yuba-Sutter Toy Run Committee.","Colusa Casino Resort","Benefits Children & Families in the Yuba-Sutter County Area."," Register Now  Admission:Donation.",""
11562,"Rallies &amp; Events","","","","","","The Old Folks Toy Run 24th Annual Senior Citizen Run","","0009-06-12 00:00:00","2012-10-24 12:53:52","publish","We ride to three senior homes bearing gifts and singing Christmas carols. Please bring wrapped gifts, male green bow, female red bow, for all three homes. Meet at IHOP at 9 am for breakfast, 2290 Loveridge Rd. Pitts, California.","We ride to three senior homes bearing gifts and singing Christmas carols. Please bring wrapped gifts, male green bow, female red bow, for all three homes. Meet at IHOP at 9 am for breakfast, 2290 Loveridge Rd. Pitts, California.","Leland & Loveridge Pittsberg CA 94565","","","","","","Dave.13.Scott@gmail.com","www.dave-scott.us","","","","","","","","2012-12-22","10:30:00","2012-12-22","00:00:00","Dave Scott","Presented by Dave Scott.","The old Devil Mountain H-D","Benefits senior citizens.","",""
11564,"Rallies &amp; Events","","","","","","9th Annual Anniversary Party","","2012-09-10 21:34:56","2013-01-14 09:56:47","publish","All bikes welcome. Come out and have a good time. Live music,food, door prizes, run prizes and vendors. Full bar available.","All bikes welcome. Come out and have a good time. Live music,food, door prizes, run prizes and vendors. Full bar available.","32150 Grand Ave.","","Winchester","CA","92596","","","","","","","","","","","2012-11-17","11:00:00","2012-11-17","00:00:00","Coach","Presented by Rough Riders MC Wild Horse Chapter.","Wild West Arena","Benefits returning combat veterans and military."," Register Now  Admission:$15/person.",""
